unitid,scugrad2010,scugffn2010,scugffp2010,fgrnt_p2010,fgrnt_a2010,sgrnt_p2010,sgrnt_a2010,scugrad2011,scugffn2011,scugffp2011,fgrnt_p2011,fgrnt_a2011,sgrnt_p2011,sgrnt_a2011,scugrad2012,scugffn2012,scugffp2012,fgrnt_p2012,fgrnt_a2012,sgrnt_p2012,sgrnt_a2012,scugrad2013,scugffn2013,scugffp2013,fgrnt_p2013,fgrnt_a2013,sgrnt_p2013,sgrnt_a2013,scugrad2014,scugffn2014,scugffp2014,fgrnt_p2014,fgrnt_a2014,sgrnt_p2014,sgrnt_a2014,scugrad2015,scugffn2015,scugffp2015,fgrnt_p2015,fgrnt_a2015,sgrnt_p2015,sgrnt_a2015
228158,9900,1270,13,61,4301.2754,21,1462.4872,9900,1270,13,61,3796.2632,27,1725.2278,9731,1141,12,65,3767.0811,11,1647.0834,9559,1192,12,70,4208.9736,27,1586.2665,9661,1398,14,61,3846.9087,18,2157.0637,9341,1348,14,61,4192.8442,20,2881.3384
228185,64,25,39,76,4763.7896,0,0,71,31,44,68,4761.9048,0,0,77,25,32,72,5300,0,0,64,11,17,82,5326.1113,0,0,66,13,20,85,4684.4546,0,0,70,17,24,47,4372.625,0,0
228200,1581,774,49,69,4383.5386,6,3840.4583,977,764,78,76,4041.8093,0,0,606,567,94,80,2363.3164,0,0,588,558,95,62,3845.4854,1,1900,640,625,98,66,5677.8257,0,900,608,586,96,66,5327.5698,1,2486.25
228219,2440,1233,51,77,4187.2983,3,2719.6858,1359,720,53,68,4327.3442,0,1000,798,588,74,78,3710.5317,0,0,679,445,66,79,3359.4192,0,3500,713,490,69,85,5085.084,1,4715,708,368,52,85,5137.8945,1,3800
228246,6192,1476,24,15,5737.3394,17,4363.1699,6221,1382,22,15,5054.1504,16,3998.9402,6249,1425,23,13,4622.2021,14,4049.2373,6357,1428,22,12,4736.4443,12,3620.0759,6391,1455,23,10,5524.7485,11,3707.0386,6411,1370,21,9,5443.8018,9,3772.856
228282,523,523,100,97,5145.1694,17,3244.3259,421,421,100,97,4363.4521,10,3878.1428,372,372,100,96,3830.5195,9,4409.0605,270,270,100,95,3088.1836,7,4237.1055,211,211,100,94,2890.2424,3,3641.1428,148,148,100,94,3327.439,7,3787.1001
228291,43,39,91,72,2958.0356,0,0,34,29,85,83,3138.8333,0,0,28,23,82,65,3422.2666,0,0,,,,,,,,,,,,,,,,,,,,,
228316,6235,841,13,78,5807.6841,19,1729.65,5664,723,13,87,5065.5254,33,1891.0416,5920,570,10,77,5041.9795,15,1364.762,5410,514,10,76,5173.6099,10,1473,5572,795,14,74,5102.3794,27,1513.2111,5608,620,11,73,5240.98,11,1468.8169
228325,1738,255,15,52,4670.2632,38,3429.6042,1700,268,16,57,4064.0789,32,3127.6396,1695,272,16,49,4142.3506,43,3070.0762,1700,330,19,54,4531.791,44,2886.4236,1666,308,18,55,4454.4199,40,3394.4673,1661,270,16,52,4428.0356,36,3205.7708
228343,1373,383,28,26,5471.5557,33,4246.04,1347,344,26,26,4442.7109,29,2577.9802,1394,357,26,27,4788.4634,35,4007.0879,1535,491,32,27,4383.1816,34,3379.0181,1538,382,25,26,5113.7822,39,3745,1515,359,24,29,4871.6572,40,3788.5664
228431,11354,2335,21,47,4879.0986,31,5162.7236,11380,2558,22,50,4671.3042,35,4084.0247,11298,2336,21,47,4628.9751,36,4052.395,11006,2227,20,43,4801.7832,39,4817.1587,11024,2178,20,43,4837.7095,38,4648.0747,10899,2248,21,40,4980.0728,36,5102.3921
228459,27446,4043,15,37,4790.9644,45,5517.0737,28959,4471,15,38,4389.0376,47,5076.5864,29458,4360,15,36,4388.5103,57,4961.7744,31005,5314,17,39,4433.0513,53,4671.6011,32177,5234,16,38,4514.8789,52,5359.374,33480,5536,17,39,4577.5962,48,4973.3926
228468,765,139,18,46,4685.5,39,2399.074,761,127,17,58,4849.2295,33,2792.1904,784,116,15,54,5055.9365,31,2766.6667,790,167,21,58,4686.1338,40,2570.5303,797,164,21,63,4969.8447,38,2619.6775,778,147,19,56,4777.5854,51,2984.5601
228486,224,97,43,76,5562.9053,33,3102.2813,216,70,32,83,2527.8965,24,2680.647,206,85,41,76,4798.8462,22,3050.4736,171,61,36,69,3286.6667,21,1352.5385,177,63,36,81,3253.5881,24,1388.1333,150,56,37,61,2853.6765,30,1699.1177
228501,2237,318,14,68,4657.1851,53,4920.5146,2171,335,15,66,4210.9639,47,3685.363,1924,229,12,63,4405.229,58,3710.5303,2001,300,15,64,4571.916,45,4387.125,2020,328,16,65,4476.3193,50,4087.7378,2147,313,15,57,4285.8931,50,3975.8655
228529,9132,1439,16,27,3942.7834,20,4301.2886,9681,1519,16,29,4410.7305,19,4155.2905,10477,1649,16,41,4159.394,46,3902.8303,11348,1698,15,38,4338.3022,48,3495.167,10217,2013,20,41,4486.6504,45,3072.1296,10750,1831,17,41,4540.0425,45,4257.9893
228547,49108,5224,11,49,5044.6895,32,1439.0114,50062,5670,11,58,4237.1509,14,1651.9791,50439,4777,9,56,4106.126,18,1593.1202,50771,4495,9,58,4341.0352,31,1640.9827,50595,4068,8,56,4230.5791,26,1942.5297,51688,4314,8,53,4270.9497,13,1943.3429
228608,5966,482,8,86,4138.29,41,2002.0503,5692,460,8,73,4340.5713,25,1380.9036,5303,333,6,75,4028.1204,24,1378.7875,5462,393,7,55,4932.2339,27,2052.1589,5013,331,7,43,4771.9365,42,2746.9421,5518,406,7,52,4809.5381,23,1010.1304
